full_name,batch,stars,license,in_bugsinpy,e5_pass,e6_pass,py_bytes,loc_est,bucket,small_candidate
Marker-Inc-Korea/AutoRAG,stars:1000-5000,4753,apache-2.0,False,True,True,1097878,31367,large,False
jazzband/tablib,stars:1000-5000,4751,mit,False,True,True,213421,6097,medium,False
tschellenbach/Stream-Framework,stars:1000-5000,4750,other,False,False,True,0,0,,False
CarperAI/trlx,stars:1000-5000,4746,mit,False,True,True,503051,14372,medium,False
pyinvoke/invoke,stars:1000-5000,4746,bsd-2-clause,False,True,True,716765,20479,medium,False
JerBouma/FinanceToolkit,stars:1000-5000,4747,mit,False,True,True,2112281,60350,large,False
charles2gan/GDA-android-reversing-Tool,stars:1000-5000,4743,apache-2.0,False,True,True,49053,1401,small_strict,True
Bing-su/adetailer,stars:1000-5000,4743,agpl-3.0,False,True,True,133806,3823,small_strict,True
Qix-/better-exceptions,stars:1000-5000,4729,mit,False,True,True,25714,734,small_extended,True
open-mmlab/mmocr,stars:1000-5000,4728,apache-2.0,False,True,True,2389459,68270,large,False
InkboxSoftware/excelCPU,stars:1000-5000,4727,cc0-1.0,False,False,True,0,0,,False
cookiecutter-flask/cookiecutter-flask,stars:1000-5000,4727,mit,False,True,True,39024,1114,small_strict,True
huggingface/speech-to-speech,stars:1000-5000,4727,apache-2.0,False,True,True,683798,19537,medium,False
su-kaka/gcli2api,stars:1000-5000,4726,other,False,False,True,0,0,,False
moshstudio/TAICHI-flet,stars:1000-5000,4724,mit,False,True,True,107498,3071,small_strict,True
INTERMT/Awesome-PyTorch-Chinese,stars:1000-5000,4722,mit,False,True,True,17,0,out_of_range,False
facebookincubator/AITemplate,stars:1000-5000,4716,apache-2.0,False,True,True,7644174,218404,out_of_range,False
hudson-and-thames/mlfinlab,stars:1000-5000,4710,other,False,False,True,0,0,,False
googlefonts/noto-emoji,stars:1000-5000,4701,ofl-1.1,False,False,True,0,0,,False
karpathy/ng-video-lecture,stars:1000-5000,4697,,False,False,True,0,0,,False
ronreiter/interactive-tutorials,stars:1000-5000,4696,apache-2.0,False,True,True,657825,18795,medium,False
nateraw/stable-diffusion-videos,stars:1000-5000,4686,apache-2.0,False,True,True,114612,3274,small_strict,True
shinnytech/tqsdk-python,stars:1000-5000,4686,apache-2.0,False,True,True,1542271,44064,large,False
Blaizzy/mlx-vlm,stars:1000-5000,4686,mit,False,True,True,5384527,153843,large,False
carltongibson/django-filter,stars:1000-5000,4675,other,False,False,True,0,0,,False
hzy46/Deep-Learning-21-Examples,stars:1000-5000,4675,,False,False,True,0,0,,False
AgriciDaniel/claude-obsidian,stars:1000-5000,4673,mit,False,True,True,46056,1315,small_strict,True
vllm-project/vllm-omni,stars:1000-5000,4671,apache-2.0,False,True,True,12620929,360597,out_of_range,False
offu/WeRoBot,stars:1000-5000,4669,mit,False,True,True,304705,8705,medium,False
AgriciDaniel/claude-ads,stars:1000-5000,4669,mit,False,True,True,72845,2081,small_strict,True
hhatto/autopep8,stars:1000-5000,4666,mit,False,True,True,670233,19149,medium,False
NewFuture/DDNS,stars:1000-5000,4664,mit,False,True,True,902104,25774,medium,False
initialcommit-com/git-sim,stars:1000-5000,4659,gpl-2.0,False,True,True,203596,5817,medium,False
PeterGriffinJin/Search-R1,stars:1000-5000,4659,apache-2.0,False,True,True,831780,23765,medium,False
llm-attacks/llm-attacks,stars:1000-5000,4656,mit,False,True,True,112653,3218,small_strict,True
gbeced/pyalgotrade,stars:1000-5000,4654,other,False,False,False,0,0,,False
LLaVA-VL/LLaVA-NeXT,stars:1000-5000,4653,apache-2.0,False,True,True,1732339,49495,large,False
keylase/nvidia-patch,stars:1000-5000,4654,,False,False,True,0,0,,False
strawberry-graphql/strawberry,stars:1000-5000,4652,mit,False,True,True,2702316,77209,large,False
ladaapp/lada,stars:1000-5000,4651,agpl-3.0,False,True,True,1354187,38691,large,False
PKU-Alignment/align-anything,stars:1000-5000,4650,apache-2.0,False,True,True,2935399,83868,large,False
CharlesPikachu/musicdl,stars:1000-5000,4650,other,False,False,True,0,0,,False
hunvreus/devpush,stars:1000-5000,4650,mit,False,True,True,538449,15384,medium,False
michael-lazar/rtv,stars:1000-5000,4647,mit,False,True,False,0,0,,False
ThioJoe/YT-Spammer-Purge,stars:1000-5000,4647,gpl-3.0,False,True,True,862544,24644,medium,False
Kozea/Radicale,stars:1000-5000,4639,gpl-3.0,False,True,True,1370179,39147,large,False
instillai/deep-learning-roadmap,stars:1000-5000,4638,mit,False,True,True,4050,115,out_of_range,False
Guake/guake,stars:1000-5000,4637,gpl-2.0,False,True,True,406928,11626,medium,False
Blealtan/efficient-kan,stars:1000-5000,4636,mit,False,True,True,11303,322,out_of_range,False
nathom/streamrip,stars:1000-5000,4635,gpl-3.0,False,True,True,287246,8207,medium,False
sweetice/Deep-reinforcement-learning-with-pytorch,stars:1000-5000,4622,mit,False,True,True,182237,5206,medium,False
luosiallen/latent-consistency-model,stars:1000-5000,4618,mit,False,True,True,240645,6875,medium,False
pyrogram/pyrogram,stars:1000-5000,4612,lgpl-3.0,False,True,False,0,0,,False
Kwai-Kolors/Kolors,stars:1000-5000,4612,apache-2.0,False,True,True,664403,18982,medium,False
MoonshotAI/Kimi-Audio,stars:1000-5000,4609,,False,False,True,0,0,,False
OUCMachineLearning/OUCML,stars:1000-5000,4604,,False,False,True,0,0,,False
OpenDriveLab/UniAD,stars:1000-5000,4604,apache-2.0,False,True,True,1273540,36386,large,False
agent-infra/sandbox,stars:1000-5000,4604,apache-2.0,False,True,True,1197539,34215,large,False
TachibanaYoshino/AnimeGAN,stars:1000-5000,4600,,False,False,True,0,0,,False
STVIR/pysot,stars:1000-5000,4600,apache-2.0,False,True,True,316986,9056,medium,False
zju3dv/EasyMocap,stars:1000-5000,4599,other,False,False,True,0,0,,False
yizhongw/self-instruct,stars:1000-5000,4598,apache-2.0,False,True,True,54972,1570,small_strict,True
promptslab/Promptify,stars:1000-5000,4598,apache-2.0,False,True,True,83794,2394,small_strict,True
InsaneLife/ChineseNLPCorpus,stars:1000-5000,4597,,False,False,True,0,0,,False
CloakHQ/CloakBrowser,stars:1000-5000,4597,mit,False,True,True,493096,14088,medium,False
PyImageSearch/imutils,stars:1000-5000,4595,mit,False,True,True,54312,1551,small_strict,True
pytorch/executorch,stars:1000-5000,4594,other,False,False,True,0,0,,False
going-doer/Paper2Code,stars:1000-5000,4594,apache-2.0,False,True,True,105961,3027,small_strict,True
NVlabs/neuralangelo,stars:1000-5000,4592,other,False,False,True,0,0,,False
Kr1s77/Python-crawler-tutorial-starts-from-zero,stars:1000-5000,4592,,False,False,True,0,0,,False
okfn-brasil/serenata-de-amor,stars:1000-5000,4591,mit,False,True,True,459053,13115,medium,False
motioneye-project/motioneye,stars:1000-5000,4590,gpl-3.0,False,True,True,463418,13240,medium,False
Integuru-AI/Integuru,stars:1000-5000,4589,agpl-3.0,False,True,True,56989,1628,small_strict,True
phodal/awesome-iot,stars:1000-5000,4589,mit,False,True,True,20070,573,small_extended,True
jendrikseipp/vulture,stars:1000-5000,4590,mit,False,True,True,124203,3548,small_strict,True
hephaest0s/usbkill,stars:1000-5000,4586,,False,False,True,0,0,,False
spec-first/connexion,stars:1000-5000,4582,apache-2.0,False,True,True,561931,16055,medium,False
robusta-dev/krr,stars:1000-5000,4580,mit,False,True,True,303402,8668,medium,False
EverMind-AI/EverOS,stars:1000-5000,4580,apache-2.0,False,True,True,6658376,190239,large,False
spyoungtech/grequests,stars:1000-5000,4578,bsd-2-clause,False,True,True,16237,463,out_of_range,False
kyegomez/tree-of-thoughts,stars:1000-5000,4575,apache-2.0,False,True,True,43252,1235,small_strict,True
google-deepmind/dm_control,stars:1000-5000,4574,apache-2.0,False,True,True,2286588,65331,large,False
